學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,副學士(五專)計小計,副學士(五專)計男,副學士(五專)計女,副學士(五專)國立小計,副學士(五專)國立男,副學士(五專)國立女,副學士(五專)直轄市立小計,副學士(五專)直轄市立男,副學士(五專)直轄市立女,副學士(五專)私立小計,副學士(五專)私立男,副學士(五專)私立女,副學士(二專)計小計,副學士(二專)計男,副學士(二專)計女,副學士(二專)國立小計,副學士(二專)國立男,副學士(二專)國立女,副學士(二專)直轄市立小計,副學士(二專)直轄市立男,副學士(二專)直轄市立女,副學士(二專)私立小計,副學士(二專)私立男,副學士(二專)私立女,學士計小計,學士計男,學士計女,學士國立小計,學士國立男,學士國立女,學士直轄市立小計,學士直轄市立男,學士直轄市立女,學士私立小計,學士私立男,學士私立女,碩士計小計,碩士計男,碩士計女,碩士國立小計,碩士國立男,碩士國立女,碩士直轄市立小計,碩士直轄市立男,碩士直轄市立女,碩士私立小計,碩士私立男,碩士私立女,博士計小計,博士計男,博士計女,博士國立小計,博士國立男,博士國立女,博士直轄市立小計,博士直轄市立男,博士直轄市立女,博士私立小計,博士私立男,博士私立女
96學年,高雄縣,21100,10380,10720,1839,1021,818,-,-,-,19261,9359,9902,2245,625,1620,-,-,-,-,-,-,2245,625,1620,2197,1093,1104,-,-,-,-,-,-,2197,1093,1104,14955,7486,7469,1176,576,600,-,-,-,13779,6910,6869,1675,1152,523,644,428,216,-,-,-,1031,724,307,28,24,4,19,17,2,-,-,-,9,7,2
96學年,屏東縣,12164,5080,7084,4315,1826,2489,-,-,-,7849,3254,4595,1006,269,737,3,-,3,-,-,-,1003,269,734,1667,823,844,-,-,-,-,-,-,1667,823,844,8334,3334,5000,3229,1211,2018,-,-,-,5105,2123,2982,1140,643,497,1066,604,462,-,-,-,74,39,35,17,11,6,17,11,6,-,-,-,-,-,-
96學年,臺東縣,1301,553,748,1301,553,748,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,40,29,69,40,29,-,-,-,-,-,-,712,304,408,712,304,408,-,-,-,-,-,-,519,209,310,519,209,310,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-
96學年,花蓮縣,5102,2409,2693,2328,1155,1173,-,-,-,2774,1254,1520,171,-,171,-,-,-,-,-,-,171,-,171,544,320,224,-,-,-,-,-,-,544,320,224,3329,1485,1844,1421,605,816,-,-,-,1908,880,1028,1027,585,442,881,534,347,-,-,-,146,51,95,31,19,12,26,16,10,-,-,-,5,3,2
96學年,澎湖縣,641,293,348,641,293,348,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,-,11,11,-,-,-,-,-,-,-,615,272,343,615,272,343,-,-,-,-,-,-,15,10,5,15,10,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,基隆市,3656,1772,1884,2079,1437,642,-,-,-,1577,335,1242,327,54,273,-,-,-,-,-,-,327,54,273,463,119,344,-,-,-,-,-,-,463,119,344,2016,994,1022,1229,832,397,-,-,-,787,162,625,824,583,241,824,583,241,-,-,-,-,-,-,26,22,4,26,22,4,-,-,-,-,-,-
96學年,新竹市,13377,7861,5516,7183,4818,2365,-,-,-,6194,3043,3151,19,6,13,-,-,-,-,-,-,19,6,13,3,3,-,-,-,-,-,-,-,3,3,-,8060,4072,3988,2782,1660,1122,-,-,-,5278,2412,2866,4768,3340,1428,3894,2735,1159,-,-,-,874,605,269,527,440,87,507,423,84,-,-,-,20,17,3
96學年,臺中市,29187,12325,16862,8706,3611,5095,-,-,-,20481,8714,11767,1592,323,1269,618,81,537,-,-,-,974,242,732,732,185,547,517,86,431,-,-,-,215,99,116,22289,8988,13301,5371,2088,3283,-,-,-,16918,6900,10018,4317,2639,1678,2033,1232,801,-,-,-,2284,1407,877,257,190,67,167,124,43,-,-,-,90,66,24
96學年,嘉義市,3659,1769,1890,2828,1403,1425,-,-,-,831,366,465,47,17,30,1,-,1,-,-,-,46,17,29,473,195,278,-,-,-,-,-,-,473,195,278,2330,1163,1167,2018,1009,1009,-,-,-,312,154,158,803,390,413,803,390,413,-,-,-,-,-,-,6,4,2,6,4,2,-,-,-,-,-,-
96學年,臺南市,9232,5515,3717,7153,4259,2894,-,-,-,2079,1256,823,189,-,189,189,-,189,-,-,-,-,-,-,47,-,47,47,-,47,-,-,-,-,-,-,5070,2850,2220,3204,1727,1477,-,-,-,1866,1123,743,3585,2396,1189,3372,2263,1109,-,-,-,213,133,80,341,269,72,341,269,72,-,-,-,-,-,-
96學年,金門縣,386,224,162,386,224,162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,385,224,161,385,224,161,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
