學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,五專計小計,五專計男,五專計女,五專國立小計,五專國立男,五專國立女,五專直轄市立小計,五專直轄市立男,五專直轄市立女,五專私立小計,五專私立男,五專私立女,二專計小計,二專計男,二專計女,二專國立小計,二專國立男,二專國立女,二專直轄市立小計,二專直轄市立男,二專直轄市立女,二專私立小計,二專私立男,二專私立女,學士班計小計,學士班計男,學士班計女,學士班國立小計,學士班國立男,學士班國立女,學士班直轄市立小計,學士班直轄市立男,學士班直轄市立女,學士班私立小計,學士班私立男,學士班私立女,碩士班計小計,碩士班計男,碩士班計女,碩士班國立小計,碩士班國立男,碩士班國立女,碩士班直轄市立小計,碩士班直轄市立男,碩士班直轄市立女,碩士班私立小計,碩士班私立男,碩士班私立女,博士班計小計,博士班計男,博士班計女,博士班國立小計,博士班國立男,博士班國立女,博士班直轄市立小計,博士班直轄市立男,博士班直轄市立女,博士班私立小計,博士班私立男,博士班私立女
97學年,宜蘭縣,15401,8984,6417,5128,3601,1527,-,-,-,10273,5383,4890,3147,1169,1978,-,-,-,-,-,-,3147,1169,1978,1293,777,516,-,-,-,-,-,-,1293,777,516,9410,6109,3301,4691,3289,1402,-,-,-,4719,2820,1899,1525,916,609,437,312,125,-,-,-,1088,604,484,26,13,13,-,-,-,-,-,-,26,13,13
97學年,桃園縣,110100,60767,49333,14123,9480,4643,-,-,-,95977,51287,44690,6363,79,6284,-,-,-,-,-,-,6363,79,6284,915,233,682,-,-,-,-,-,-,915,233,682,84986,48176,36810,7299,4656,2643,-,-,-,77687,43520,34167,15019,10059,4960,5168,3509,1659,-,-,-,9851,6550,3301,2817,2220,597,1656,1315,341,-,-,-,1161,905,256
97學年,新竹縣,21469,13076,8393,-,-,-,-,-,-,21469,13076,8393,1510,890,620,-,-,-,-,-,-,1510,890,620,127,92,35,-,-,-,-,-,-,127,92,35,19173,11579,7594,-,-,-,-,-,-,19173,11579,7594,659,515,144,-,-,-,-,-,-,659,515,144,-,-,-,-,-,-,-,-,-,-,-,-
97學年,苗栗縣,25682,13166,12516,7560,5391,2169,-,-,-,18122,7775,10347,4912,1375,3537,-,-,-,-,-,-,4912,1375,3537,2162,1338,824,2,2,-,-,-,-,2160,1336,824,18147,10164,7983,7264,5206,2058,-,-,-,10883,4958,5925,458,286,172,291,180,111,-,-,-,167,106,61,3,3,-,3,3,-,-,-,-,-,-,-
97學年,臺中縣,67189,32227,34962,9915,7257,2658,-,-,-,57274,24970,32304,1770,74,1696,-,-,-,-,-,-,1770,74,1696,1651,1388,263,1002,827,175,-,-,-,649,561,88,58566,27721,30845,8309,5924,2385,-,-,-,50257,21797,28460,5095,2975,2120,604,506,98,-,-,-,4491,2469,2022,107,69,38,-,-,-,-,-,-,107,69,38
97學年,彰化縣,38780,23211,15569,8135,4062,4073,-,-,-,30645,19149,11496,8,8,-,-,-,-,-,-,-,8,8,-,1250,789,461,-,-,-,-,-,-,1250,789,461,30902,18603,12299,4391,2200,2191,-,-,-,26511,16403,10108,6077,3496,2581,3335,1647,1688,-,-,-,2742,1849,893,543,315,228,409,215,194,-,-,-,134,100,34
97學年,南投縣,12267,7917,4350,5295,2658,2637,-,-,-,6972,5259,1713,1461,1050,411,-,-,-,-,-,-,1461,1050,411,699,623,76,-,-,-,-,-,-,699,623,76,8157,5127,3030,3510,1635,1875,-,-,-,4647,3492,1155,1703,952,751,1538,858,680,-,-,-,165,94,71,247,165,82,247,165,82,-,-,-,-,-,-
97學年,雲林縣,26785,16892,9893,19870,13671,6199,-,-,-,6915,3221,3694,16,15,1,16,15,1,-,-,-,-,-,-,1463,698,765,-,-,-,-,-,-,1463,698,765,20667,12919,7748,15333,10471,4862,-,-,-,5334,2448,2886,4069,2841,1228,3951,2766,1185,-,-,-,118,75,43,570,419,151,570,419,151,-,-,-,-,-,-
97學年,嘉義縣,27488,16268,11220,12044,6941,5103,-,-,-,15444,9327,6117,200,166,34,-,-,-,-,-,-,200,166,34,679,472,207,-,-,-,-,-,-,679,472,207,19300,11250,8050,6513,3473,3040,-,-,-,12787,7777,5010,6326,3664,2662,4569,2767,1802,-,-,-,1757,897,860,983,716,267,962,701,261,-,-,-,21,15,6
97學年,臺南縣,103686,47662,56024,1601,500,1101,-,-,-,102085,47162,54923,8409,1382,7027,162,47,115,-,-,-,8247,1335,6912,1464,736,728,-,-,-,-,-,-,1464,736,728,88413,42308,46105,735,181,554,-,-,-,87678,42127,45551,5291,3147,2144,679,254,425,-,-,-,4612,2893,1719,109,89,20,25,18,7,-,-,-,84,71,13
97學年,高雄縣,83346,43701,39645,6990,3928,3062,-,-,-,76356,39773,36583,13564,4144,9420,-,-,-,-,-,-,13564,4144,9420,3283,1924,1359,-,-,-,-,-,-,3283,1924,1359,61032,33828,27204,4675,2345,2330,-,-,-,56357,31483,24874,5113,3539,1574,2102,1424,678,-,-,-,3011,2115,896,354,266,88,213,159,54,-,-,-,141,107,34
97學年,屏東縣,48538,21911,26627,19417,8624,10793,-,-,-,29121,13287,15834,7218,1942,5276,2,1,1,-,-,-,7216,1941,5275,2437,1317,1120,-,-,-,-,-,-,2437,1317,1120,34324,16224,18100,15203,6380,8823,-,-,-,19121,9844,9277,4367,2295,2072,4020,2110,1910,-,-,-,347,185,162,192,133,59,192,133,59,-,-,-,-,-,-
97學年,臺東縣,4799,2251,2548,4799,2251,2548,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,474,293,181,474,293,181,-,-,-,-,-,-,3105,1471,1634,3105,1471,1634,-,-,-,-,-,-,1185,474,711,1185,474,711,-,-,-,-,-,-,35,13,22,35,13,22,-,-,-,-,-,-
97學年,花蓮縣,22265,11101,11164,10541,5293,5248,-,-,-,11724,5808,5916,1308,226,1082,-,-,-,-,-,-,1308,226,1082,884,572,312,-,-,-,-,-,-,884,572,312,15778,7987,7791,6862,3241,3621,-,-,-,8916,4746,4170,3858,2026,1832,3339,1817,1522,-,-,-,519,209,310,437,290,147,340,235,105,-,-,-,97,55,42
97學年,澎湖縣,3073,1593,1480,3073,1593,1480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,22,15,37,22,15,-,-,-,-,-,-,2955,1531,1424,2955,1531,1424,-,-,-,-,-,-,81,40,41,81,40,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,16250,8330,7920,8496,5941,2555,-,-,-,7754,2389,5365,2205,607,1598,-,-,-,-,-,-,2205,607,1598,456,199,257,-,-,-,-,-,-,456,199,257,11009,5675,5334,5955,4103,1852,-,-,-,5054,1572,3482,2213,1558,655,2174,1547,627,-,-,-,39,11,28,367,291,76,367,291,76,-,-,-,-,-,-
97學年,新竹市,53667,32925,20742,29663,19936,9727,-,-,-,24004,12989,11015,3,2,1,-,-,-,-,-,-,3,2,1,1,1,-,-,-,-,-,-,-,1,1,-,34612,19487,15125,13290,8276,5014,-,-,-,21322,11211,10111,14153,9420,4733,11653,7771,3882,-,-,-,2500,1649,851,4898,4015,883,4720,3889,831,-,-,-,178,126,52
97學年,臺中市,120430,55958,64472,37017,16405,20612,-,-,-,83413,39553,43860,5936,1333,4603,3464,587,2877,-,-,-,2472,746,1726,1260,301,959,1033,188,845,-,-,-,227,113,114,95479,43588,51891,23500,10192,13308,-,-,-,71979,33396,38583,14945,8699,6246,7225,4082,3143,-,-,-,7720,4617,3103,2810,2037,773,1795,1356,439,-,-,-,1015,681,334
97學年,嘉義市,17310,7839,9471,12396,6274,6122,-,-,-,4914,1565,3349,1777,198,1579,-,-,-,-,-,-,1777,198,1579,389,204,185,-,-,-,-,-,-,389,204,185,12264,6024,6240,9516,4861,4655,-,-,-,2748,1163,1585,2736,1329,1407,2736,1329,1407,-,-,-,-,-,-,144,84,60,144,84,60,-,-,-,-,-,-
97學年,臺南市,37286,22132,15154,29549,17369,12180,-,-,-,7737,4763,2974,1254,7,1247,1254,7,1247,-,-,-,-,-,-,195,6,189,195,6,189,-,-,-,-,-,-,22266,13184,9082,15077,8783,6294,-,-,-,7189,4401,2788,10044,6202,3842,9496,5840,3656,-,-,-,548,362,186,3527,2733,794,3527,2733,794,-,-,-,-,-,-
97學年,金門縣,2131,1225,906,2131,1225,906,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2043,1167,876,2043,1167,876,-,-,-,-,-,-,88,58,30,88,58,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
